name,code,childrenUrl,comment,url
"Productia medie pe un animal, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR203A,matrix,,matrix
"Valoarea productiei agricole, pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR204A,matrix,,matrix
"Indicii productiei agricole pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete - an de baza=an precedent",AGR205A,matrix,,matrix
"Valoarea productiei ramurii agricole pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete - serie noua",AGR206A,matrix,,matrix
"Indicii productiei ramurii agricole pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete - an de baza=an precedent - serie noua",AGR207A,matrix,,matrix
"Conturile economice din agricultura, preturi curente",AGR208A,matrix,,matrix
"Conturile economice din agricultura, preturile anului precedent",AGR208B,matrix,,matrix
"Statistica valorilor unitare, preturi de baza",AGR209A,matrix,,matrix
"Statistica valorilor unitare, preturile producatorului",AGR209B,matrix,,matrix
Statistica valorilor unitare - cantitati,AGR209C,matrix,,matrix
Volumul fortei de munca din agricultura,AGR210A,matrix,,matrix
"Suprafata fondului forestier pe categorii de terenuri si specii de paduri, macroregiuni, regiuni de dezvoltare si judete",AGR301A,matrix,,matrix
"Suprafata terenurilor pe care s-au executat regenerari artificiale, pe categorii de regenerari artificiale, macroregiuni, regiuni de dezvoltare si judete",AGR304A,matrix,,matrix
"Suprafata terenurilor din fondul forestier parcursa cu taieri, pe categorii de taieri",AGR305A,matrix,,matrix
"Volumul de lemn recoltat pe specii, macroregiuni, regiuni de dezvoltare si judete",AGR306A,matrix,,matrix
"Cifra de afaceri a unitatilor silvice, macroregiuni, regiuni de dezvoltare si judete",AGR307A,matrix,,matrix
"Volumul de lemn exploatat de catre operatorii economici cu activitate de exploatare forestiera, pe elemente componente",AGR308A,matrix,,matrix
"Volumul de lemn rotund exploatat, pe sortimente si grupe de specii",AGR308B,matrix,,matrix
"AMIGO - Participarea populatiei la forta de munca, pe sexe si medii de rezidenta",AMG1010,matrix,,matrix
AMIGO - Populatia activa  pe grupe de varsta si sexe,AMG101A,matrix,,matrix
AMIGO - Populatia activa  pe grupe de varsta si medii de rezidenta,AMG101B,matrix,,matrix
AMIGO - Populatia activa dupa starea civila si pe grupe de varsta ,AMG101C,matrix,,matrix
AMIGO - Populatia activa dupa starea civila si sexe,AMG101D,matrix,,matrix
"AMIGO - Populatia activa dupa starea civila, pe medii de rezidenta",AMG101E,matrix,,matrix
AMIGO - Populatia activa pe grupe de varsta si sexe,AMG101F,matrix,,matrix
AMIGO - Populatia activa pe grupe de varsta si medii de rezidenta,AMG101R,matrix,,matrix
"AMIGO - Populatia ocupata pe grupe de varsta , dupa statutul profesional si sexe",AMG1101,matrix,,matrix
"AMIGO - Populatia ocupata pe grupe de varsta, dupa statutul profesional si medii de rezidenta",AMG1102,matrix,,matrix
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe grupe de varsta si sexe",AMG1103,matrix,,matrix
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe grupe de varsta si medii de rezidenta",AMG1104,matrix,,matrix
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe activitati si sexe",AMG1105,matrix,,matrix
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe activitati si medii de rezidenta",AMG1106,matrix,,matrix
AMIGO - Populatia ocupata pe grupe de varsta si medii de rezidenta,AMG1107,matrix,,matrix
AMIGO - Populatia ocupata  pe grupe de varsta si sexe,AMG110A,matrix,,matrix
AMIGO - Populatia ocupata  pe grupe de varsta  si medii de rezidenta,AMG110B,matrix,,matrix
AMIGO - Populatia ocupata  dupa starea civila si grupe de varsta,AMG110C,matrix,,matrix
AMIGO - Populatia ocupata pe sexe dupa starea civila,AMG110D,matrix,,matrix
"AMIGO - Populatia ocupata  pe medii de rezidenta, dupa starea civila",AMG110E,matrix,,matrix
AMIGO - Populatia ocupata pe grupe de varsta si sexe,AMG110F,matrix,,matrix
"AMIGO - Populatia ocupata dupa nivel de educatie, pe grupe de varsta si sexe",AMG110I,matrix,,matrix
"AMIGO - Populatia ocupata dupa nivel de educatie, pe grupe de varsta si medii de rezidenta",AMG110J,matrix,,matrix
"AMIGO - Populatia ocupata dupa forma de proprietate a locului de munca, pe activitati si sexe",AMG110M,matrix,,matrix
"AMIGO - Populatia ocupata dupa forma de proprietate a locului de munca, pe activitati si medii de rezidenta",AMG110N,matrix,,matrix
"AMIGO - Populatia ocupata pe activitati, grupe de varsta si sexe",AMG110O,matrix,,matrix
